編號,資料來源,資料名稱,我們的建議分類,主要欄位,分類及編號,資料集描述,主要欄位說明
128,臺北市政府觀光傳播局,105年1月到7月臺北市旅遊服務中心服務人次統計表,4,"月份,服務人次總計",休閒旅遊,105年1月到7月臺北市旅遊服務中心服務人次統計表,"月份,服務人次總計"
129,臺北市政府勞動局,臺北市政府違反職業安全衛生法事業單位及事業主公布總表,20,"公告日期；
處分日期；
處分字號；
事業單位名稱／自然人姓名；
負責人；
違反職業安全衛生法條款；
違反法規內容；
備註",求職及就業,臺北市政府違反職業安全衛生法事業單位及事業主公布總表,"公告日期；
處分日期；
處分字號；
事業單位名稱／自然人姓名；
負責人；
違反職業安全衛生法條款；
違反法規內容；
備註"
130,臺北市政府警察局刑事警察大隊,台北市自行車竊盜點位資訊,14,案類(Type)、發生(現)日期(Date) 、發生時段(Time)、地點(Location),生活安全及品質,台北市104年1月-105年7月份自行車竊盜點位資訊,案類(Type)、發生(現)日期(Date) 、發生時段(Time)、地點(Location)
131,臺北市政府警察局刑事警察大隊,台北市汽車竊盜點位資訊,14,案類(Type)、發生(現)日期(Date) 、發生時段(Time)、地點(Location),生活安全及品質,台北市104年1月-105年7月份汽車竊盜點位資訊,案類(Type)、發生(現)日期(Date) 、發生時段(Time)、地點(Location)
132,臺北市政府警察局刑事警察大隊,台北市住宅竊盜點位資訊,14,案類(Type)、發生(現)日期(Date) 、發生時段(Time)、地點(Location),生活安全及品質,台北市104年1月-105年4月份住宅竊盜點位資訊,案類(Type)、發生(現)日期(Date) 、發生時段(Time)、地點(Location)
133,臺北市政府消防局,臺北市搶救不易狹小巷道清冊,14,行政區、列管路段、列管範圍,公共資訊,提供查詢搶救不易狹小巷道,行政區、列管路段、列管範圍
134,臺北市政府消防局,臺北市政府消防通道清冊,14,行政區、列管路段、列管範圍,公共資訊,提供查詢臺北市政府消防通道,行政區、列管路段、列管範圍
135,臺北市政府衛生局,臺北市公費流感抗病毒藥劑合約院所,3,"neme(醫院名稱), address_for_display(顯示用地址),address_for_system(系統辨識用地址) telephone(電話)",就醫,臺北市公費流感抗病毒藥劑合約院所,"neme(醫院名稱), address_for_display(顯示用地址),address_for_system(系統辨識用地址) telephone(電話)"
136,臺北市政府產業發展局,花博公園展館資訊,4,主辦單位、活動名稱、租（借）用時間、使用天數/使用率、參觀人次,公共資訊,花博公園展館資訊。,主辦單位、活動名稱、租（借）用時間、使用天數/使用率、參觀人次
137,臺北市政府產業發展局,農業用地允許使用申請,13,地號、申請項目,公共資訊,農業用地允許使用申請。,地號、申請項目
138,臺北市政府產業發展局,臺北市中小企業融資貸款,13,受理申請件數、核准件數、核准金額,公共資訊,臺北市中小企業融資貸款。,受理申請件數、核准件數、核准金額
139,臺北市政府產業發展局,臺北市青年創業融資貸款,13,受理申請件數、核准件數、核准金額,公共資訊,臺北市青年創業融資貸款。,受理申請件數、核准件數、核准金額
140,臺北市政府產業發展局,臺北市動產擔保登記資料,13,登記編號、登記核准日期、變更文號、變更核准日期、註銷文號、註銷日期、擔保類別、契約啟始日期、契約終止日期、債務人名稱、債務人統編、債務人住居所或營業所、債務人代理人名稱、債務人代理人統編 、擔保權人名稱、擔保權人統編 、擔保權人住居所或營業所、擔保權人代理人名稱、擔保權人代理人統編、擔保權人備註、標的物種類、標的物所有人名稱、標的物所有人統編、標的物所在地、標的物總價格、標的物價格幣別、擔保債權金額、擔保債權金額幣別、最高限額註記、動產明細項數、浮動擔保註記,公共資訊,臺北市動產擔保登記資料,登記編號、登記核准日期、變更文號、變更核准日期、註銷文號、註銷日期、擔保類別、契約啟始日期、契約終止日期、債務人名稱、債務人統編、債務人住居所或營業所、債務人代理人名稱、債務人代理人統編 、擔保權人名稱、擔保權人統編 、擔保權人住居所或營業所、擔保權人代理人名稱、擔保權人代理人統編、擔保權人備註、標的物種類、標的物所有人名稱、標的物所有人統編、標的物所在地、標的物總價格、標的物價格幣別、擔保債權金額、擔保債權金額幣別、最高限額註記、動產明細項數、浮動擔保註記
141,臺北市政府產業發展局,臺北市瓦斯供氣戶數及供氣量,5,公司名稱、供氣戶數、當月供氣量、本年截至上月累計供氣量、年累計供氣量,公共資訊,臺北市四家公用天然氣事業售氣量及供氣戶數表。,公司名稱、供氣戶數、當月供氣量、本年截至上月累計供氣量、年累計供氣量
142,臺北市政府衛生局,臺北市四癌篩檢醫療院所,3,行政區，院所名稱，地址，聯絡電話，乳癌篩檢，子宮頸癌篩檢，女醫師，口腔癌篩檢，大腸癌篩檢，看診時段(星期一至星期五)，時間(上午、下午、晚上)，看診時段備註，貼心小提醒，女醫師備註，癌篩櫃台在幾樓，健康好站，醫療院所網址。,公共資訊,臺北市提供免費四癌篩檢服務之醫療院所,行政區，院所名稱，地址，聯絡電話，乳癌篩檢，子宮頸癌篩檢，女醫師，口腔癌篩檢，大腸癌篩檢，看診時段(星期一至星期五)，時間(上午、下午、晚上)，看診時段備註，貼心小提醒，女醫師備註，癌篩櫃台在幾樓，健康好站，醫療院所網址。
143,臺北市政府人事處,臺北市政府各一級機關暨列席議會二級機關首長名錄,12,相片、機關、姓名、職稱、到職日、主要學歷、主要經歷、考試、通訊處、公務電話,公共資訊,"臺北市政府各一級機關暨列席議會二級機關首長名錄 
",相片、機關、姓名、職稱、到職日、主要學歷、主要經歷、考試、通訊處、公務電話
144,臺北市政府教育局,臺北市中小學校學區,7,學校名稱、區別、學區範圍、地址、電話號碼,公共資訊,臺北市國民中學學區劃分,學校名稱、區別、學區範圍、地址、電話號碼
145,臺北自來水事業處,臺北市停水資訊-(大臺北地區),16,"SW_No：停水案件系統代碼、FS_Date：預定開始停水日期、FC_Date：預定最後通水日期、SW_Area：停水區域、Description：停水通知內容、PubDate：公告日期、StopWaterSection_twd97：停水區域(採TWD97座標，以WKT表示)、StopWaterSection_twd97_wgs84(採WGS84座標，以WKT表示)：
",生活安全及品質,大臺北地區停水區域資訊,"SW_No：停水案件系統代碼、FS_Date：預定開始停水日期、FC_Date：預定最後通水日期、SW_Area：停水區域、Description：停水通知內容、PubDate：公告日期、StopWaterSection_twd97：停水區域(採TWD97座標，以WKT表示)、StopWaterSection_twd97_wgs84(採WGS84座標，以WKT表示)：
"
146,臺北市動物保護處,寵物登記站名冊,6,編號、寵物登記機構名稱、地址、電話,公共資訊,提供臺北市寵物登記站名冊。,編號、寵物登記機構名稱、地址、電話
147,臺北市政府勞動局,臺北市政府違反勞動基準法事業單位及事業主公布總表,20,"公告日期；
處分日期；
處分字號；
事業單位名稱/自然人姓名；
事業單位代表人；
違反勞動基準法條款；
違反法規內容；
備註；",求職及就業,臺北市政府違反勞動基準法事業單位及事業主公布總表,"公告日期；
處分日期；
處分字號；
事業單位名稱/自然人姓名；
事業單位代表人；
違反勞動基準法條款；
違反法規內容；
備註；"
148,臺北市政府兵役局,抽籤人數統計表,2,"區別年別,陸軍,海軍艦艇兵,海軍陸戰隊,空軍,常備兵抽籤合計,常備兵抽籤總計,替代役,總計",服兵役,臺北市抽籤人數統計,"區別年別,陸軍,海軍艦艇兵,海軍陸戰隊,空軍,常備兵抽籤合計,常備兵抽籤總計,替代役,總計"
149,臺北市政府人事處,本府公教人員急難貸款申請人次統計表,9,本府公教人員急難貸款申請情形,公共資訊,本府105年公教人員急難貸款申請情形,本府公教人員急難貸款申請情形
150,臺北市政府人事處,本府公教人員住宅貸款貸放戶歷年賸餘戶數統計表,9,本府歷年公教人員住宅貸款貸放戶賸餘戶數,公共資訊,自97年起歷年本府公教人員住宅貸款貸放戶賸餘戶數,本府歷年公教人員住宅貸款貸放戶賸餘戶數
151,臺北市政府兵役局,列管後備軍人動態統計表,2,"軍階,役别,上月列管人數,增加數小計,增加數退伍報到,增加數停役報到,增加數零退報到,增加數遷入,增加數轉役入,增加數其他,減少數小計,減少數遷出,減少數志願服役,減少數轉役出,減少數免役,減少數回役,減少數除役,減少數禁役,減少數死亡,減少數其他,本月列管人數,本月中出國,本月中失蹤人口,本月中失蹤撤銷,本月中回國,本月中區內住變,備註",服兵役,列管後備軍人動態統計,"軍階,役别,上月列管人數,增加數小計,增加數退伍報到,增加數停役報到,增加數零退報到,增加數遷入,增加數轉役入,增加數其他,減少數小計,減少數遷出,減少數志願服役,減少數轉役出,減少數免役,減少數回役,減少數除役,減少數禁役,減少數死亡,減少數其他,本月列管人數,本月中出國,本月中失蹤人口,本月中失蹤撤銷,本月中回國,本月中區內住變,備註"
152,臺北自來水事業處,臺北市直飲臺,16,"一、直飲臺編號、轄區分處、市別、場所別、場所次分類、場所名稱、地址、行政區、管理單位、連絡電話、場所開放時間、設置地點、經度、緯度、狀態、狀態異動日期時間、最近採樣日期時間、大腸桿菌群。
二、採樣事宜依據行政院環境保護署「飲用水連續供水固定設備使用及維護管理辦法」規定辦理。",生活安全及品質,直接飲用自來水飲水臺,"一、直飲臺編號、轄區分處、市別、場所別、場所次分類、場所名稱、地址、行政區、管理單位、連絡電話、場所開放時間、設置地點、經度、緯度、狀態、狀態異動日期時間、最近採樣日期時間、大腸桿菌群。
二、採樣事宜依據行政院環境保護署「飲用水連續供水固定設備使用及維護管理辦法」規定辦理。"
153,臺北市政府人事處,獎懲月報表,12,機關名稱、行政懲處、行政獎勵、懲戒處分,公共資訊,本府獎懲月報表,機關名稱、行政懲處、行政獎勵、懲戒處分
154,臺北市政府教育局,臺北市私立幼兒園通訊資料,7,行政區別、園名、電話及地址、核定招收總人數,公共資訊,臺北市各行政區私立幼兒園名稱、電話及地址,行政區別、園名、電話及地址、核定招收總人數
155,臺北市政府教育局,臺北市公立幼兒園通訊資料,7,行政區別、設立別、園名、電話及地址、緯度、經度,公共資訊,臺北市各行政區公立幼兒園名稱、電話及地址,行政區別、設立別、園名、電話及地址、緯度、經度
156,臺北市政府警察局,臺北市防空避難設備,14,防空避難室數量及容量,公共資訊,臺北市防空避難設備數量及容量,防空避難室數量及容量
157,臺北市政府環境保護局,臺北市河川水質檢測結果,11,"河川名稱,監測站,經度,緯度,採樣日期,採樣時間,污染程度,RPI,溶氧,生化需氧量,氨氮,懸浮固體",公共資訊,提供臺北市河川水質檢測結果,"河川名稱,監測站,經度,緯度,採樣日期,採樣時間,污染程度,RPI,溶氧,生化需氧量,氨氮,懸浮固體"
158,臺北市政府兵役局,替代役役男家屬安家費暨三節生活扶助金統計表,2,"鄉鎮市區別,合計發給戶數,合計發給口數,合計金額,一次安家費小計發給戶數,一次安家費小計發給口數,一次安家費小計金額,一次安家費甲級發給戶數,一次安家費甲級發給口數,一次安家費甲級金額,一次安家費乙級發給戶數,一次安家費乙級發給口數,一次安家費乙級金額,一次安家費丙級發給戶數,一次安家費丙級發給口數,一次安家費丙級金額,三節生活扶助金小計發給戶數,三節生活扶助金小計發給口數,三節生活扶助金小計金額,三節生活扶助金甲級發給戶數,三節生活扶助金甲級發給口數,三節生活扶助金甲級金額,三節生活扶助金乙級發給戶數,三節生活扶助金乙級發給口數,三節生活扶助金乙級金額,三節生活扶助金丙級發給戶數,三節生活扶助金丙級發給口數,三節生活扶助金丙級金額",服兵役,替代役役男家屬安家費暨三節生活扶助金統計,"鄉鎮市區別,合計發給戶數,合計發給口數,合計金額,一次安家費小計發給戶數,一次安家費小計發給口數,一次安家費小計金額,一次安家費甲級發給戶數,一次安家費甲級發給口數,一次安家費甲級金額,一次安家費乙級發給戶數,一次安家費乙級發給口數,一次安家費乙級金額,一次安家費丙級發給戶數,一次安家費丙級發給口數,一次安家費丙級金額,三節生活扶助金小計發給戶數,三節生活扶助金小計發給口數,三節生活扶助金小計金額,三節生活扶助金甲級發給戶數,三節生活扶助金甲級發給口數,三節生活扶助金甲級金額,三節生活扶助金乙級發給戶數,三節生活扶助金乙級發給口數,三節生活扶助金乙級金額,三節生活扶助金丙級發給戶數,三節生活扶助金丙級發給口數,三節生活扶助金丙級金額"
159,臺北市政府兵役局,常備兵役役男家屬安家費暨三節生活扶助金統計表,2,"鄉鎮市區別,合計發給戶數,合計發給口數,合計金額,一次安家費小計發給戶數,一次安家費小計發給口數,一次安家費小計金額,一次安家費甲級發給戶數,一次安家費甲級發給口數,一次安家費甲級金額,一次安家費乙級發給戶數,一次安家費乙級發給口數,一次安家費乙級金額,一次安家費丙級發給戶數,一次安家費丙級發給口數,一次安家費丙級金額,三節生活扶助金小計發給戶數,三節生活扶助金小計發給口數,三節生活扶助金小計金額,三節生活扶助金甲級發給戶數,三節生活扶助金甲級發給口數,三節生活扶助金甲級金額,三節生活扶助金乙級發給戶數,三節生活扶助金乙級發給口數,三節生活扶助金乙級金額,三節生活扶助金丙級發給戶數,三節生活扶助金丙級發給口數,三節生活扶助金丙級金額",服兵役,常備兵役役男家屬安家費暨三節生活扶助金統計,"鄉鎮市區別,合計發給戶數,合計發給口數,合計金額,一次安家費小計發給戶數,一次安家費小計發給口數,一次安家費小計金額,一次安家費甲級發給戶數,一次安家費甲級發給口數,一次安家費甲級金額,一次安家費乙級發給戶數,一次安家費乙級發給口數,一次安家費乙級金額,一次安家費丙級發給戶數,一次安家費丙級發給口數,一次安家費丙級金額,三節生活扶助金小計發給戶數,三節生活扶助金小計發給口數,三節生活扶助金小計金額,三節生活扶助金甲級發給戶數,三節生活扶助金甲級發給口數,三節生活扶助金甲級金額,三節生活扶助金乙級發給戶數,三節生活扶助金乙級發給口數,三節生活扶助金乙級金額,三節生活扶助金丙級發給戶數,三節生活扶助金丙級發給口數,三節生活扶助金丙級金額"
160,臺北市政府兵役局,軍人公墓(忠靈祠)葬厝表,2,"公墓名稱,納骨堂塔容量單櫃,納骨堂塔容量雙櫃,納骨堂塔上期底已存厝現役單櫃,納骨堂塔上期底已存厝現役雙櫃,納骨堂塔上期底已存厝退除役單櫃,納骨堂塔上期底已存厝退除役雙櫃,納骨堂塔本期底淨存厝現役單櫃,納骨堂塔本期底淨存厝現役雙櫃,納骨堂塔本期底淨存厝退除役單櫃,納骨堂塔本期底淨存厝退除役雙櫃,納骨堂塔累計存厝單櫃,納骨堂塔累計存厝雙櫃,納骨堂塔餘容量單櫃,納骨堂塔餘容量雙櫃,土葬容量,土葬上期底已安葬現役,土葬上期底已安葬退除役,土葬本期淨安葬現役,土葬本期淨安葬退除役,土葬累計已安葬,土葬餘容量",服兵役,軍人公墓(忠靈祠)葬厝,"公墓名稱,納骨堂塔容量單櫃,納骨堂塔容量雙櫃,納骨堂塔上期底已存厝現役單櫃,納骨堂塔上期底已存厝現役雙櫃,納骨堂塔上期底已存厝退除役單櫃,納骨堂塔上期底已存厝退除役雙櫃,納骨堂塔本期底淨存厝現役單櫃,納骨堂塔本期底淨存厝現役雙櫃,納骨堂塔本期底淨存厝退除役單櫃,納骨堂塔本期底淨存厝退除役雙櫃,納骨堂塔累計存厝單櫃,納骨堂塔累計存厝雙櫃,納骨堂塔餘容量單櫃,納骨堂塔餘容量雙櫃,土葬容量,土葬上期底已安葬現役,土葬上期底已安葬退除役,土葬本期淨安葬現役,土葬本期淨安葬退除役,土葬累計已安葬,土葬餘容量"
161,臺北市政府環境保護局,臺北市飲用水水質檢驗資料,16,"稽查日期,檢驗點,大腸桿菌群,總菌落數,自由有效餘氯,氫離子濃度指數",公共資訊,臺北市自來水供水系統管線水質檢測結果,"稽查日期,檢驗點,大腸桿菌群,總菌落數,自由有效餘氯,氫離子濃度指數"
162,臺北市政府消防局,臺北市消防安全檢查重大不合格場所,14,場所名稱、場所地點、檢查結果、檢查日期,公共資訊,臺北市消防安全檢查重大不合格場所,場所名稱、場所地點、檢查結果、檢查日期
163,臺北市政府兵役局,役男申請複檢案件統計表,2,"複檢醫院,公費人數,自費人數,合計",服兵役,臺北市役男申請複檢案件統計,"複檢醫院,公費人數,自費人數,合計"
164,臺北市市場處,臺北市超級市場,4,名稱、內容、建立日期、地址、經度、緯度,休閒旅遊,市集販賣內容簡介、座標(84),名稱、內容、建立日期、地址、經度、緯度
165,臺北市政府主計處,營造工程物價指數,13,統計期、統計項目、統計資料、資料來源、附註、更新日期。,公共資訊,臺北市營造工程物價基本分類、臺北市建築工程物價、臺北市土木工程物價、臺北市營造工程物價總指數,統計期、統計項目、統計資料、資料來源、附註、更新日期。
166,臺北市政府主計處,消費者物價指數,16,統計期、統計項目、統計資料、資料來源、附註、更新日期。,公共資訊,臺北市消費者物價指數基本分類、臺北市消費者物價商品性質分類、臺北市所得層級別消費者物價、臺北市消費者物價總指數銜接表、臺北市消費者物價購買頻度別、臺北市房屋租金指數銜接表、臺北市消費者物價特殊分類。,統計期、統計項目、統計資料、資料來源、附註、更新日期。
167,臺北市政府民政局,臺北市各行政區最新月份人口數及戶數,12,"district:行政區名稱
village:里數
neighborhood:鄰數
household:戶數
population:人口數
",公共資訊,依據戶政事務所受理民眾戶籍登記資料產製。,"district:行政區名稱
village:里數
neighborhood:鄰數
household:戶數
population:人口數
"
168,臺北市政府警察局,臺北市防空警報臺數量,14,遙控警報臺、人工警報臺、堪用警報器設置類別、堪用警報器種類,公共資訊,臺北市防空警報臺數量統計,遙控警報臺、人工警報臺、堪用警報器設置類別、堪用警報器種類
169,臺北市政府都市發展局,審議會議程及記錄,8,主旨、超連結,公共資訊,審議會議程及記錄,主旨、超連結
170,臺北市政府警察局交通警察大隊,臺北市固定測速照相地點表,14,排序、固定桿、道路、設置地點、行政區、方向、速限,公共資訊,提供臺北市現有車輛超速自動照相設備之設置地點及地點路段之限速值,排序、固定桿、道路、設置地點、行政區、方向、速限
171,臺北市政府警察局,電話受理案件統計表,14,總計、單位、案類,公共資訊,110 電話受理案件105-07,總計、單位、案類
172,臺北市政府都市發展局,更新(地區)範圍圖資訊,8,主旨、超連結,公共資訊,更新(地區)範圍圖資訊,主旨、超連結
173,臺北市政府都市發展局,都市更新停看聽,8,主旨、超連結,公共資訊,都市更新停看聽,主旨、超連結
174,臺北市政府都市發展局,臺北市都市再生前進基地推動計畫補助要點,8,臺北市都市再生前進基地推動計畫補助要點,公共資訊,臺北市都市再生前進基地推動計畫補助要點,臺北市都市再生前進基地推動計畫補助要點
175,臺北市政府都市發展局,臺北市社區營造中心場地使用申請相關事項公告,8,臺北市社區營造中心場地使用申請相關事項公告,公共資訊,"臺北市社區營造中心場地使用申請相關事項公告 (原「臺北市社區營造中心場地使用管理辦法」已於101年10月19日廢止)。

",臺北市社區營造中心場地使用申請相關事項公告
176,臺北市政府都市發展局,臺北市都市更新事業(重建區段)建築物工程造價要項,8,主旨、日期、名稱、超連結,公共資訊,"臺北市都市更新事業(重建區段)建築物工程造價要項
",主旨、日期、名稱、超連結
177,臺北市政府都市發展局,都市更新事業及權利變換計畫內有關費用提列總表,8,主旨、日期、名稱、超連結,公共資訊,"都市更新事業及權利變換計畫內有關費用提列總表
",主旨、日期、名稱、超連結
178,臺北市政府都市發展局,臺北市都市更新及爭議處理審議會歷次會議通案重要審議原則,8,主旨、日期、名稱、超連結,公共資訊,臺北市都市更新及爭議處理審議會歷次會議通案重要審議原則,主旨、日期、名稱、超連結
179,臺北市政府環境保護局,臺北市路燈桿旗幟申請參考一覽表,21,路段、同時間核可活動數量、已核可活動及時間,公共資訊,臺北市路燈桿旗幟申請參考路段、已核可活動及時間等資訊,路段、同時間核可活動數量、已核可活動及時間
180,臺北市政府環境保護局,臺北市乙、丙級清除機構基本資料,16,名稱、級別、聯絡電話、地址、負責人,公共資訊,臺北市乙、丙級清除機構名稱、級別、聯絡電話、地址、負責人等資訊,名稱、級別、聯絡電話、地址、負責人
181,臺北市政府環境保護局,臺北市垃圾清運路線圖,16,區(Region)、里(Li)、分隊(DepName)、車號(CarNo)、車次(CarNumber)、時間(CarTime)、地址(Address)、經度(Lng)、緯度(Lat),生活安全及品質,臺北市垃圾清運路線時間地點資訊,區(Region)、里(Li)、分隊(DepName)、車號(CarNo)、車次(CarNumber)、時間(CarTime)、地址(Address)、經度(Lng)、緯度(Lat)
182,臺北市政府環境保護局,臺北市環境輻射監測站基本資料,16,"STA_NO,測站名稱,地址,備註,經度,緯度",公共資訊,"臺北市環境輻射監測站測站名稱,地址等資訊","STA_NO,測站名稱,地址,備註,經度,緯度"
183,臺北市政府環境保護局,臺北市張貼板欄核准地點一覽表,16,"序號,行政區,設置地點,許可期限,許可文號,設置人,管理人/聯絡電話,收費標準",公共資訊,"臺北市張貼板欄核准設置地點,許可期限,許可文號,設置人,管理人/聯絡電話,收費標準等資訊","序號,行政區,設置地點,許可期限,許可文號,設置人,管理人/聯絡電話,收費標準"
184,臺北市政府環境保護局,臺北市甲級廢棄物清除處理機構名單,13,序號、等級、管制編號、機構名稱、負責人、電話、住址、種類、營業項目、核准文號、許可證字號、有效期限、專責技術人員,公共資訊,臺北市甲級廢棄物清除處理機構名單，管制編號、機構名稱、負責人、電話、住址、種類、營業項目等資訊,序號、等級、管制編號、機構名稱、負責人、電話、住址、種類、營業項目、核准文號、許可證字號、有效期限、專責技術人員
185,臺北市政府環境保護局,臺北市事業廢棄物再利用者登記資料,13,"縣市別,管制編號,機構名稱,機構電話,機構地址,再利用廢棄物,廢棄物來源,檢核通過日期,檢核到期日期,批發零售業",公共資訊,"臺北市事業廢棄物再利用者登記資料，管制編號,名稱,地址,廢棄物來源,檢核通過日期,檢核到期日期,批發零售業等資訊","縣市別,管制編號,機構名稱,機構電話,機構地址,再利用廢棄物,廢棄物來源,檢核通過日期,檢核到期日期,批發零售業"
186,臺北市政府環境保護局,臺北市環境教育設施場所,7,"縣市別,設施場所名稱,申請單位,設施場所地址或座落,聯絡電話,設施場所網址,核准日期",求學及進修,臺北市環境教育設施場所名稱、地址、電話等資訊,"縣市別,設施場所名稱,申請單位,設施場所地址或座落,聯絡電話,設施場所網址,核准日期"
187,臺北市政府環境保護局,臺北市空氣品質監測站基本資料,16,"測站種類(station type)、測站分類(classification)、測站名稱(station_name)、測站地址(station_address)、監測項目(monitor_item)、經度(longitude),緯度(latitude)",生活安全及品質,臺北市空氣品質監測站種類、分類、名稱、地址、監測項目等資訊,"測站種類(station type)、測站分類(classification)、測站名稱(station_name)、測站地址(station_address)、監測項目(monitor_item)、經度(longitude),緯度(latitude)"
188,臺北市政府環境保護局,臺北市地下水監測結果,11,監測井編號及井址、採樣時間、天氣狀況、採樣水位、水溫、pH、導電度、氨氮、氯鹽、硫酸鹽、硫酸鹽氮、總溶解固體、總硬度、鎘、銅、汞、鉛、鋅、砷、大腸桿菌群,公共資訊,提供臺北市地下水監測結果,監測井編號及井址、採樣時間、天氣狀況、採樣水位、水溫、pH、導電度、氨氮、氯鹽、硫酸鹽、硫酸鹽氮、總溶解固體、總硬度、鎘、銅、汞、鉛、鋅、砷、大腸桿菌群
189,臺北市政府捷運工程局,臺北捷運系統防洪設計標準,11,"線別
車站/機廠
50年頻率洪水位
100年頻率洪水位
200年頻率洪水位
防洪實際高程",交通及通訊,"捷運系統大部分路線均置於地下，為避免遭受水患，在系統設計上均有一定之防洪保護設施。臺北都會區捷運系統之防洪規劃設計為整體通盤考量捷運設施功能、使用年限、安全需求、工程經濟及配合大臺北地區防洪計畫之堤防安全與保護程度等因素，採用二百年頻率洪水位加五十公分出水高度作為臺北捷運系統之防洪保護標準，而其防護原則與方式係於上述洪水保護標準下之所有開口(含出土段)及機廠均能有效地防止地面洪水灌入。
","線別
車站/機廠
50年頻率洪水位
100年頻率洪水位
200年頻率洪水位
防洪實際高程"
190,臺北市政府工務局大地工程處,臺北市土石流防災地圖,11,類別、編號,公共資訊,臺北市土石流防災地圖9幅,類別、編號
191,臺北市政府法務局,臺北市政府採購爭議案件處理情形年度分析統計表,12,"1.本會自 90年1月1日成立迄該年度收、結案狀況總表。
2.案件總表-該年度案件爭議途徑類型分析、案件處理情形分析、案件採購性質分析。
3.爭議案件分析統計表-該年度申訴案件處理情形、調解案件處理情形、工程採購調解不成立
   類型、件數、比例及理由。
4.爭議案件問題類型分析-該年度招、審、決標爭議申訴實體終結案件分析統計表、不良廠商
   案件實體終結分析統計表、調解案件問題類型分析統計表。",公共資訊,申訴會之申訴案及履約調解爭議案件分析統計情形。主要內容為本會歷年度收結案狀況、當年度案件總表、案件爭議分析統計表、爭議案件問題類型分析等4大類。,"1.本會自 90年1月1日成立迄該年度收、結案狀況總表。
2.案件總表-該年度案件爭議途徑類型分析、案件處理情形分析、案件採購性質分析。
3.爭議案件分析統計表-該年度申訴案件處理情形、調解案件處理情形、工程採購調解不成立
   類型、件數、比例及理由。
4.爭議案件問題類型分析-該年度招、審、決標爭議申訴實體終結案件分析統計表、不良廠商
   案件實體終結分析統計表、調解案件問題類型分析統計表。"
192,臺北市政府法務局,臺北市政府採購申訴審議委員會會議紀錄,12,開會時間、地點、主持人、出席人員、列席人員、報告事項、討論案案由及其決議。,公共資訊,申訴會每月之會議紀錄，主要內容有案由(含案件編號、案件名稱、招標機關、申請人或申訴人、承辦人及委員姓名)及其決議。,開會時間、地點、主持人、出席人員、列席人員、報告事項、討論案案由及其決議。
193,臺北市政府衛生局,臺北市救護車資料,14,標題、類別、聯絡電話、顯示用地址、系統辨識用地址,公共資訊,臺北市救護車資料,標題、類別、聯絡電話、顯示用地址、系統辨識用地址
194,臺北市政府衛生局,臺北市藥局,3,機構名稱、地址,公共資訊,全區藥局(含健康保險),機構名稱、地址
195,臺北市政府兵役局,役男徵兵檢查體位判等因素分析統計表,2,"項次,病名,常備役暨常備役甲,常備役乙,常備役暨替代役甲,替代役乙,免役,體位未定,專科檢查,合計",服兵役,臺北市役男徵兵檢查體位判等因素分析統計,"項次,病名,常備役暨常備役甲,常備役乙,常備役暨替代役甲,替代役乙,免役,體位未定,專科檢查,合計"
196,臺北市政府兵役局,役男徵兵檢查BMI值統計表,2,"BMI值體位,人數,百分比,總計",服兵役,臺北市役男徵兵檢查BMI值統計,"BMI值體位,人數,百分比,總計"
197,臺北市政府兵役局,役男徵兵檢查人數統計表,2,"年次,判定體位檢查人數,判定體位常備役體位暨常甲,判定體位常備役乙等,判定體位替代役體位暨替甲,判定體位替代役乙等,判定體位免役體位,判定體位體位未定,判定體位專科檢查,身心障礙書面審核,役男體檢住所檢查,役男體檢重點檢查,未受檢查合計,未受檢查在學緩徵,未受檢查報考大專,未受檢查現役軍警,未受檢查因素緩徵,未受檢查出境,未受檢查僑民役男,未受檢查其他",服兵役,臺北市役男徵兵檢查人數統計,"年次,判定體位檢查人數,判定體位常備役體位暨常甲,判定體位常備役乙等,判定體位替代役體位暨替甲,判定體位替代役乙等,判定體位免役體位,判定體位體位未定,判定體位專科檢查,身心障礙書面審核,役男體檢住所檢查,役男體檢重點檢查,未受檢查合計,未受檢查在學緩徵,未受檢查報考大專,未受檢查現役軍警,未受檢查因素緩徵,未受檢查出境,未受檢查僑民役男,未受檢查其他"
198,臺北市政府工務局水利工程處,臺北市歷年積水紀錄圖,16,積水發生日期、行政區、積水範圍、積水深度,生活安全及品質,全市歷年積水紀錄圖、圖層空間參考系統座標是TWD97-TM2(zone121)座標,積水發生日期、行政區、積水範圍、積水深度
199,臺北市政府環境保護局,臺北市空氣品質即時污染指標,16,站名、空氣污染指標、細懸浮微粒(PM2.5)指標、細懸浮微粒(PM2.5)濃度、懸浮微粒(PM10)濃度、二氧化氮濃度、二氧化硫濃度、一氧化碳濃度、臭氧濃度、氮氧化物、一氧化氮、發布時間,公共資訊,提供臺北市環境保護局空氣品質監測站之即時監測值(檔案為gz格式壓縮，原始檔案為json格式),站名、空氣污染指標、細懸浮微粒(PM2.5)指標、細懸浮微粒(PM2.5)濃度、懸浮微粒(PM10)濃度、二氧化氮濃度、二氧化硫濃度、一氧化碳濃度、臭氧濃度、氮氧化物、一氧化氮、發布時間
200,臺北市政府環境保護局,臺北市環境輻射監測,16,測站、監測值、時間、溫度,公共資訊,環境輻射監測(監測資料檔案為gz格式壓縮，原始檔案為json格式),測站、監測值、時間、溫度
